"stimuliID","PAQ","pvalue","effect"
"1","calm","0.022916652144218","0.0603454666263178"
"2","uneventful","0.0311961346092757","0.0536404583167421"
"3","pleasant","0.00113721633712117","0.125634169830379"
"3","calm","0.004394012435116","0.096250271195693"
"3","monotonous","0.00484781494573604","0.0941136348304942"
"3","annoying","0.0338277123099429","0.051879889599855"
"3","ISOPL","0.00197977697621198","0.113581979976014"
"4","eventful","0.01939128117997","0.0639767769053662"
"4","vibrant","0.0168551359747991","0.06702391006525"
"4","chaotic","0.0240272588764257","0.0593166588398692"
"4","ISOEV","0.0322102967207753","0.0529449805132922"
"5","calm","0.048981013763501","0.0438330984820284"
"5","ISOPL","0.0269311383412535","0.0568363500581514"
"6","vibrant","0.0319422967487226","0.0531266137077182"
"6","pleasant","6.26398991280038e-05","0.188654524274517"
"6","calm","5.65263340154969e-05","0.190887042165819"
"6","uneventful","0.006485083952036","0.08778805468968"
"6","monotonous","3.78709886255753e-05","0.199594026317817"
"6","annoying","0.000392612948364294","0.148754049904466"
"6","chaotic","0.0170755483490506","0.0667414730411845"
"6","ISOPL","1.76773100383633e-05","0.216157144771342"
"7","eventful","0.00332594462960811","0.102304381436795"
"7","vibrant","0.00169934143345013","0.116902489023127"
"7","pleasant","0.000437341746182387","0.146408600882953"
"7","calm","0.000586470855111081","0.140030164869798"
"7","uneventful","0.0226142106248225","0.0606342778608637"
"7","monotonous","0.00220751719207214","0.111214931249746"
"7","annoying","0.0193329325662865","0.064042288840189"
"7","chaotic","0.000941952465163097","0.129729472745031"
"7","ISOPL","0.000625141094145266","0.138642025718984"
"7","ISOEV","0.000323906854579581","0.152935968899335"
"8","uneventful","0.0213493300609972","0.0618855417103444"
"10","vibrant","0.00986682994634059","0.0786647099530774"
"10","chaotic","0.0175901903047112","0.0660959543777479"
"11","annoying","0.0224685973134862","0.0607747091215085"
"12","vibrant","0.000233035829858235","0.160093876956637"
"12","pleasant","0.00923407669847472","0.0801055358442944"
"12","calm","0.0472516196316589","0.0446145292980686"
"12","chaotic","0.00474197080982341","0.0945935314570792"
"12","ISOEV","0.00906861700746454","0.0804985979644339"
"14","vibrant","0.0393785156605441","0.0485768456348948"
"15","eventful","0.00413125124931434","0.0975907598251833"
"15","vibrant","0.00790763297256382","0.0834766692808765"
"15","pleasant","0.0252463709237479","0.0582407143344016"
"15","calm","0.00926177769336871","0.0800404189831133"
"15","ISOEV","0.0185448784955168","0.0649469917377165"
"16","calm","0.00169803502749544","0.116919207883209"
"16","chaotic","0.0152869373227622","0.0691468822827571"
"17","vibrant","0.00483479273127693","0.0941721091173398"
"18","ISOPL","0.0403282417426488","0.0480587666914725"
"20","eventful","0.0319564083007909","0.0531170118581722"
"20","vibrant","0.0187505283768507","0.0647072466709579"
"20","annoying","0.0429092844652308","0.046710153377454"
"20","ISOEV","0.030183622782473","0.0543577346449104"
"22","eventful","0.0283411297121362","0.0557269822326206"
"22","monotonous","0.0150755471703042","0.0694495921845651"
"22","chaotic","0.0123196306165957","0.0738382892118571"
"22","ISOEV","0.00511518839584803","0.0929465445266082"
"24","pleasant","0.0331484742183907","0.052320838913132"
"24","calm","0.0305254048653989","0.0541129564275999"
"25","vibrant","0.00521731904082716","0.0925167739724628"
